MS SubClass,Lot Area,Street,Lot Config,House Style,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Foundation,TotRms AbvGrd,Fireplaces,Garage Area,Yr Sold,Sale Type,Sale Condition,SalePrice
20,31770,Pave,Corner,1Story,1Fam,6,5,1960,1960,CBlock,7,2,528.0,2010,WD ,Normal,215000
20,11622,Pave,Inside,1Story,1Fam,5,6,1961,1961,CBlock,5,0,730.0,2010,WD ,Normal,105000
20,14267,Pave,Corner,1Story,1Fam,6,6,1958,1958,CBlock,6,0,312.0,2010,WD ,Normal,172000
20,11160,Pave,Corner,1Story,1Fam,7,5,1968,1968,CBlock,8,2,522.0,2010,WD ,Normal,244000
60,13830,Pave,Inside,2Story,1Fam,5,5,1997,1998,PConc,6,1,482.0,2010,WD ,Normal,189900
60,9978,Pave,Inside,2Story,1Fam,6,6,1998,1998,PConc,7,1,470.0,2010,WD ,Normal,195500
120,4920,Pave,Inside,1Story,TwnhsE,8,5,2001,2001,PConc,6,0,582.0,2010,WD ,Normal,213500
120,5005,Pave,Inside,1Story,TwnhsE,8,5,1992,1992,PConc,5,0,506.0,2010,WD ,Normal,191500
120,5389,Pave,Inside,1Story,TwnhsE,8,5,1995,1996,PConc,5,1,608.0,2010,WD ,Normal,236500
60,7500,Pave,Inside,2Story,1Fam,7,5,1999,1999,PConc,7,1,442.0,2010,WD ,Normal,189000
60,10000,Pave,Corner,2Story,1Fam,6,5,1993,1994,PConc,7,1,440.0,2010,WD ,Normal,175900
20,7980,Pave,Inside,1Story,1Fam,6,7,1992,2007,PConc,6,0,420.0,2010,WD ,Normal,185000
60,8402,Pave,Inside,2Story,1Fam,6,5,1998,1998,PConc,7,1,393.0,2010,WD ,Normal,180400
20,10176,Pave,Inside,1Story,1Fam,7,5,1990,1990,PConc,5,1,506.0,2010,WD ,Normal,171500
120,6820,Pave,Corner,1Story,TwnhsE,8,5,1985,1985,PConc,4,0,528.0,2010,WD ,Normal,212000
60,53504,Pave,CulDSac,2Story,1Fam,8,5,2003,2003,PConc,12,1,841.0,2010,WD ,Normal,538000
50,12134,Pave,Inside,1.5Fin,1Fam,8,7,1988,2005,Wood,8,0,492.0,2010,WD ,Normal,164000
20,11394,Pave,Corner,1Story,1Fam,9,2,2010,2010,PConc,8,1,834.0,2010,New,Partial,394432
20,19138,Pave,Corner,1Story,1Fam,4,5,1951,1951,CBlock,4,0,400.0,2010,WD ,Normal,141000
20,13175,Pave,Inside,1Story,1Fam,6,6,1978,1988,CBlock,7,2,500.0,2010,WD ,Normal,210000
20,11751,Pave,Inside,1Story,1Fam,6,6,1977,1977,CBlock,7,1,546.0,2010,COD,Normal,190000
85,10625,Pave,Inside,SFoyer,1Fam,7,6,1974,1974,CBlock,6,2,528.0,2010,WD ,Family,170000
60,7500,Pave,Inside,2Story,1Fam,7,5,2000,2000,PConc,7,0,663.0,2010,WD ,Normal,216000
20,11241,Pave,CulDSac,1Story,1Fam,6,7,1970,1970,CBlock,5,1,480.0,2010,WD ,Normal,149000
20,12537,Pave,CulDSac,1Story,1Fam,5,6,1971,2008,CBlock,6,1,500.0,2010,WD ,Normal,149900
20,8450,Pave,Inside,1Story,1Fam,5,6,1968,1968,CBlock,6,1,304.0,2010,WD ,Normal,142000
20,8400,Pave,Corner,1Story,1Fam,4,5,1970,1970,CBlock,4,0,525.0,2010,WD ,Normal,126000
20,10500,Pave,FR2,1Story,1Fam,4,5,1971,1971,CBlock,5,1,0.0,2010,ConLI,Normal,115000
120,5858,Pave,FR2,1Story,TwnhsE,7,5,1999,1999,PConc,5,1,511.0,2010,WD ,Normal,184000
160,1680,Pave,Inside,2Story,Twnhs,6,5,1971,1971,CBlock,5,0,264.0,2010,COD,Normal,96000
